sports,entertainment,politics,tech
@KingJames,@TheRock,@BarackObama,@komal-nathani
@StephenCurry30,@JohnCena,@realDonaldTrump,@vsikka
@KDTrey5,@WWE,@narendramodi,@denharsh
@Cristiano,@selenagomez,@HillaryClinton,@vijayshekhar
@FloydMayweather,@jimmyfallon,@Pontifex,@nixxin
@TheNotoriousMMA,@JLo,@RT_Erdogan,@vkhosla
@kobebryant,@MileyCyrus,@SushmaSwaraj,@VivekKundra
@imVkohli,@KevinHart4real,@HHShkMohd,@nikesharora
@sachin_rt,@iamsrk,@Jokowi,@satyanadella
@ImRaina,@SrBachchan,@POTUS,@Apple
@virendersehwag,@BeingSalmanKhan,@PMOIndia,@SamsungMobile
@hardikpandya7,@EmmaWatson,@WhiteHouse,@amazon
@msdhoni,@ActuallyNPH,@TC_Basbakan,@sundarpichai
@neymarjr,@katyperry,@TCbestepe,@Steve_Ballmer
@KAKA,@justinbieber,@JustinTrudeau,@BillGates
@andresiniesta8,@rihanna,@JuanOrlandoH,@q_larrypage
@MesutOzil1088,@taylorswift13,@queenrania,@sergeybrin
@rogerfederer,@ladygaga,@epn,@ericschmidt
@DjokerNole,@jtimberlake,@kingsalman,@JeffBezos
@CP3,@britneyspears,@medvedevrussia,@larryellison
@RondaRousey,@ArianaGrande,@number10gov,@AlibabaGroup
@3gerardpique,@ddlovato,@juanmansantos,@elonmusk
@10Ronaldinho,@shakira,@statedept,@moskov
@WayneRooney,@akshaykumar,@mauriciomacri,@esaverin
@GarethBale11,@deepikapadukone,@abzayed,@sherylsandberg
@jamesdrodriguez,@aamir_khan,@kremlinrussia,@sparker
@FALCAO,@iHrithik,@najibrazak,@evanspiegel
@RafaelNadal,@priyankachopra,@DalaiLama,@stevewoz
@SHAQ,@arrahman,@ArvindKejriwal,@chrishughes
@SergioRamos,@aliaa08,@arunjaitley,@aaronsw
@LuisSuarez9,@AnushkaSharma,@thekiranbedi,@infosys_nmurthy
@aguerosergiokun,@juniorbachchan,@ndtv,@NandanNilekani
@StephenCurry30,@shahidkapoor,@rajnathsingh,@kris_sg
@XabiAlonso,@sonakshisinha,@AmitShah,@tvmohandaspai
@ImRo45,@AnupamPKher,@BJP4India,@RNTata2000
@Carles5puyol,@mangeshkarlata,@smritiirani,@kiranshaw
@serenawilliams,@KapilSharmaK9,@sardesairajdeep,@mukeshambaani
@D_DeGea,@sonamakapoor,@yadavakhilesh,@mangalam99
@rioferdy5,@ParineetiChopra,@Swamy39,@Oracle
@MarceloM12,@FarOutAkhtar,@BDUTT,@anandmahindra
@cesc4official,@ShraddhaKapoor,@ShashiTharoor,@IBM
@Persie_Official,@ShraddhaKapoor,@manoharparrikar,@Microsoft
@carmeloanthony,@Riteishd,@LalitKModi,@intel
@CH14_,@Varun_dvn,@mbuhari,@Adobe
@Guaje7Villa,@/S1dharthM,@lvidegaray,@Dell
@DavidLuiz_4,@thevirdas,@kbzayed,@RedHatNews
@DaniAlvesD2,@RelatableQuote,@medvedevrussiae,@Accenture
