id,created_at,text,retweet_count,favorite_count
948943618072555520,2018-01-04 15:46:03,b'#Environment: The Federations seeks to develop a better quality of life for the Colombian farmers\xe2\x80\xa6 https://t.co/TS3RThqubc',0,0
948943451164430338,2018-01-04 15:45:23,b'RT @wef: 7 ways towns and #cities are turning from grey to green https://t.co/hBj3XSU3zg #environment https://t.co/WwOM0jcyJt',89,0
948943387377504256,2018-01-04 15:45:08,"b'""For #goodideas and true #innovation, you need #human #interaction, #conflict, #argument, #debate."" | Margaret Heff\xe2\x80\xa6 https://t.co/hcip4IBfP7'",0,0
948943387117457409,2018-01-04 15:45:08,"b'""It is horrifying that we have to fight our own #government to save the #environment."" | Ansel Adams\n.\n.\xe2\x80\xa6 https://t.co/CpZeqnfWDB'",0,0
948943384449814533,2018-01-04 15:45:08,"b'""It is horrifying that we have to fight our own #government to save the #environment."" | Ansel Adams\n.\n.\xe2\x80\xa6 https://t.co/6PhFfyScmi'",0,0
948943378967924736,2018-01-04 15:45:06,"b'""For #goodideas and true #innovation, you need #human #interaction, #conflict, #argument, #debate."" | Margaret Heff\xe2\x80\xa6 https://t.co/yCGOhIh9iD'",0,0
948943353386713093,2018-01-04 15:45:00,"b""Great article from @adamvaughan_uk on Biodegradable #Plastic being the UK's 'false solution' for #ocean #waste!\xe2\x80\xa6 https://t.co/fm2KYuLNH9""",0,0
948942978420264960,2018-01-04 15:43:31,"b'RT @christianenviro: ""The climate is changing. The proper political debate would be how to deal with these risks."" #nature #environment htt\xe2\x80\xa6'",5,0
948942513481633793,2018-01-04 15:41:40,"b'RT @wellbelove: Powell Lake, Arizona and Utah. March 1999 \xe2\x80\x94 May 2014 #environment #climatechange https://t.co/obpmYBlWMt https://t.co/SdPgn\xe2\x80\xa6'",4,0
948942413409804288,2018-01-04 15:41:16,"b'RT @christianenviro: ""The climate is changing. The proper political debate would be how to deal with these risks."" #nature #environment htt\xe2\x80\xa6'",5,0
